name_norm,latitude,longitude,country,is_city,is_main_station,is_airport
Gdansk Airport,54.3808366,18.4684331999999,Pologne,FAUX,FAUX,VRAI
Biarritz Airport,43.4725243301388,-1.53179632499814,France,FAUX,FAUX,VRAI
Rijeka Airport,45.22374295,14.5651466,Croatie,FAUX,FAUX,VRAI
Paris Vatry Airport,48.780885,4.1899366,France,FAUX,FAUX,VRAI
Chambery Airport,45.638502,5.884517,France,FAUX,FAUX,VRAI
Genova Aeroporto Cristoforo Colombo,44.4153,8.85069,Italie,FAUX,FAUX,VRAI
Secovlje Portoroz Airport,45.4744043,13.6167124,Slovénie,FAUX,FAUX,VRAI
Parma Airport,44.8213,10.2979,Italie,FAUX,FAUX,VRAI
Zadar Airport,44.0964,15.3531,Croatie,FAUX,FAUX,VRAI
Maribor Airport,46.4781954,15.6820207000001,Slovénie,FAUX,FAUX,VRAI
Firenze-Peretola Aeroporto,43.8018,11.2007,Italie,FAUX,FAUX,VRAI
Klagenfurt Airport,46.6508772,14.3235913,Autriche,FAUX,FAUX,VRAI
Kaunas Airport,54.9670001,24.0713865,Littuanie,FAUX,FAUX,VRAI
Katowice Airport,50.4694999,19.074015,Pologne,FAUX,FAUX,VRAI
Bratislava Airport,48.1695907,17.1996538999999,Slovaquie,FAUX,FAUX,VRAI
Alghero Airport Fertilia,40.62877,8.294678,Italie,FAUX,FAUX,VRAI
Barcelona El Prat T2,41.3033045385296,2.0769014954567,Espagne,FAUX,FAUX,VRAI
Girona Costa Brava Airport,41.896716,2.765662,Espagne,FAUX,FAUX,VRAI
Faro Airport,37.0175956,-7.96972,Portugal,FAUX,FAUX,VRAI
Napoli Capodichino,40.8847493,14.289243,Italie,FAUX,FAUX,VRAI
Karlsruhe / Baden-Baden Airport,48.7781001,8.0875217,Allemagne,FAUX,FAUX,VRAI
Memmingen Airport,47.9875422,10.234349,Allemagne,FAUX,FAUX,VRAI
Oslo Airport (Gardermoen),60.1975501,11.1004152,Norvège,FAUX,FAUX,VRAI
Stockholm Arlanda T 2/3,59.644023,17.928869,Suède,FAUX,FAUX,VRAI
Stockholm Arlanda T 4,59.6478284,17.9286329,Suède,FAUX,FAUX,VRAI
Innsbruck Airport,47.2575301,11.3509844,Autriche,FAUX,FAUX,VRAI
Linz Airport,48.2399371,14.1879109,Autriche,FAUX,FAUX,VRAI
Sofia Airport,42.6885203,23.39719025,Bulgarie,FAUX,FAUX,VRAI
Plovdiv Airport,42.071428,24.8622985,Bulgarie,FAUX,FAUX,VRAI
Burgas Airport,42.5650814,27.4991571,Bulgarie,FAUX,FAUX,VRAI
Varna Airport,43.2375259,27.8110737,Bulgarie,FAUX,FAUX,VRAI
Rzeszow Airport,50.1118375,22.031845,Pologne,FAUX,FAUX,VRAI
Riga Airport,56.920449,23.976914,Lettonie,FAUX,FAUX,VRAI
Dubrovnik Airport,42.56008,18.261,Croatie,FAUX,FAUX,VRAI
Nantes Airport,47.154746,-1.597711,France,FAUX,FAUX,VRAI
Poznan Airport,52.413397,16.826535,Pologne,FAUX,FAUX,VRAI
Perpignan Airport,42.7409222642895,2.86699460344994,France,FAUX,FAUX,VRAI
Baia Mare Airport,47.6611057,23.4680187,Roumanie,FAUX,FAUX,VRAI
Maastricht Aachen Airport,50.9124374,5.76552179999999,Pays-Bas,FAUX,FAUX,VRAI
Castellon Airport,40.1533333,0.048223,Espagne,FAUX,FAUX,VRAI
Ostrow Wielkopolski,51.6517677,17.8026600000001,Pologne,FAUX,FAUX,VRAI
Lausanne Airport,46.541491,6.61777099999995,Suisse,FAUX,FAUX,VRAI
Cluj Airport,46.781396,23.68615,Roumanie,FAUX,FAUX,VRAI
Shannon Airport,52.6996573,-8.91469110000003,Irlande,FAUX,FAUX,VRAI
Sibiu Airport,45.7901671,24.0927893,Roumanie,FAUX,FAUX,VRAI
Lublin Airport,51.2229167,22.7035405,Pologne,FAUX,FAUX,VRAI
Reus Airport,41.1467077,1.15356139999994,Espagne,FAUX,FAUX,VRAI
Oradea Airport,47.0256291,21.8965453000001,Roumanie,FAUX,FAUX,VRAI
Nicosia Ercan Airport,35.161031,33.5031711,Chypre,FAUX,FAUX,VRAI
Thessaloniki Airport,40.5247793,22.97643440000002,Grèce,FAUX,FAUX,VRAI
Kos Airport,36.8002881,27.09680700000001,Grèce,FAUX,FAUX,VRAI
Nicosia Larnaca Airport,34.8723402,33.62035160000005,Chypre,FAUX,FAUX,VRAI
Malmo Airport,55.540613,13.364208,Suède,FAUX,FAUX,VRAI
Stockholm Bromma Airport,59.35591,17.94617,Suède,FAUX,FAUX,VRAI
Stockholm Skavsta Airport,58.78447,16.92135,Suède,FAUX,FAUX,VRAI
Stockholm Vasteras Airport,59.6017,16.62798,Suède,FAUX,FAUX,VRAI
Kiev Boryspil Airport,50.341475,30.889526,Ukraine,FAUX,FAUX,VRAI
Billund Airport,55.728449,9.112366,Danemark,FAUX,FAUX,VRAI
Munster / Osnabruck Airport,52.133725,7.685923,Allemagne,FAUX,FAUX,VRAI
Tallinn Airport,59.41620014503008,24.79882317066927,Estonie,FAUX,FAUX,VRAI
Timisoara Airport,45.810147,21.320177,Roumanie,FAUX,FAUX,VRAI
Skopje Airport,41.9616,21.6214,Macédoine du Nord,FAUX,FAUX,VRAI
Ibiza Airport,38.87707778,1.368941132,Espagne,FAUX,FAUX,VRAI
Santiago de Compostela Airport,42.89795006,-8.420665041,Espagne,FAUX,FAUX,VRAI
Pristina Airport,42.574261,21.028887,Serbie,FAUX,FAUX,VRAI
Helsinki Airport,60.317887,24.96695,Finlande,FAUX,FAUX,VRAI
Stockholm Arlanda Central,59.64957,17.9280917,Suède,FAUX,FAUX,VRAI
Stockholm Arlanda Norra,59.6515547,17.9286884,Suède,FAUX,FAUX,VRAI
Vnukovo Airport Train Station,55.605939,37.288528,Russie,FAUX,FAUX,VRAI
Moscow Domodedovo Airport Train Station,55.415005,37.897127,Russie,FAUX,FAUX,VRAI
Moscow Sheremetyevo Airport Train Station,55.963829,37.415615,Russie,FAUX,FAUX,VRAI
Basel EuroAirport Cargo,47.591986,7.544089,Suisse,FAUX,FAUX,VRAI
Basel EuroAirport Verwaltung,47.596615,7.536349,Suisse,FAUX,FAUX,VRAI
Charleroi Airport,50.47035,4.471349,Belgique,FAUX,FAUX,VRAI
Luxembourg Airport,49.635117,6.216465,Luxembourg,FAUX,FAUX,VRAI
Dala Airport,60.43,15.5075,Suède,FAUX,FAUX,VRAI
Vaxjo Smaland Airport,56.925,14.73167,Suède,FAUX,FAUX,VRAI
Kalmar Oland Airport,56.67722,16.28694,Suède,FAUX,FAUX,VRAI
Kristianstad Osterlen Airport,55.92389,14.07389,Suède,FAUX,FAUX,VRAI
Cherkasy Airport,49.402,32.014,Ukraine,FAUX,FAUX,VRAI
Moscow Vnukovo Airport,55.605939,37.288528,Russie,FAUX,FAUX,VRAI
Trapani Birgi Airport,37.913502,12.490471,Italie,FAUX,FAUX,VRAI
Catania Airport,37.47046598547813,15.06690017765132,Italie,FAUX,FAUX,VRAI
Rhodes Airport,36.40249,28.09223,Grèce,FAUX,FAUX,VRAI
Chateau-Arnoux-St-Auban,44.0615651,5.9973734,France,FAUX,VRAI,FAUX
Digne-les-Bains,44.088710133980605,6.222982406616211,France,FAUX,VRAI,FAUX
Cagnes-sur-Mer,43.65813,7.14864,France,FAUX,VRAI,FAUX
Menton,43.774444,7.4933,France,FAUX,VRAI,FAUX
Vievola,44.1125561,7.5627976,France,FAUX,VRAI,FAUX
Decazeville Centre,44.561434,2.255896,France,FAUX,VRAI,FAUX
St-Sever Calvados,48.843608,-1.0516979,France,FAUX,VRAI,FAUX
Vire,48.846329,-0.882884,France,FAUX,VRAI,FAUX
Marans,46.30433,-1.00127,France,FAUX,VRAI,FAUX
Uzerche,45.4407088,1.5702735,France,FAUX,VRAI,FAUX
Dijon Ville,47.32337,5.027208,France,FAUX,VRAI,FAUX
Pontrieux,48.7056437,-3.1574281,France,FAUX,VRAI,FAUX
Besancon Viotte,47.247019,6.022003,France,FAUX,VRAI,FAUX
Colomiers,43.603734,1.334221,France,FAUX,VRAI,FAUX
Labege Innopole,43.5473613,1.5129784,France,FAUX,VRAI,FAUX
Albas,44.466667,1.233333,France,FAUX,VRAI,FAUX
